snail_ID,termination,size_mm,sex,ecotype,time_min,egg,misdev,veliger,shelled,crawlaway,stage,notes,vip
FT193,,5,male,wave,,,,,,,,,S
FT194,,5,male,wave,,,,,,,,,S
FT195,,4,male,wave,,,,,,,,,S
FT196,,4,male,wave,,,,,,,,,S
FT197,,3,male,wave,,,,,,,,,S
FT198,,4,male,wave,,,,,,,,,S
FT199,,3,male,wave,,,,,,,,,S
H16,,10,female,crab,,,,,,,,,S
H17,,10,female,crab,,,,,,,,,S
H18,ARTIFICIAL,9,female,crab,1,8,4,10,7,0,U,in tank 20200603,S
H19,ARTIFICIAL,9.5,female,crab,5,0,0,0,0,0,U,in tank 20200604,S
H20,ARTIFICIAL,9.5,female,crab,30,0,0,10,0,0,U,in tank 20200611,S
H21,ARTIFICIAL,10,female,crab,1,11,7,0,0,0,U,in tank 20200602,S
H22,ARTIFICIAL,9,female,crab,5,0,0,0,0,0,U,in tank 20200602,S
H23,ARTIFICIAL,11,female,crab,1,2,1,68,84,15,U,in tank 20200609,S
H24,,9,female,crab,,,,,,,,,S
H25,ARTIFICIAL,9.5,female,crab,5,37,6,7,102,83,U,in tank 20200603,S
H09,ARTIFICIAL,12,female,crab,1,15,0,199,0,0,DIFF,in tank 20200527,K
H00,ARTIFICIAL,9,female,crab,5,8,0,8,0,0,U,in tank 20200611,K
H23,ARTIFICIAL,11,female,crab,1,0,0,170,0,0,DIFF,in tank 20200609,K
H22,ARTIFICIAL,9,female,crab,5,0,0,0,0,0,U,in tank 20200602,K
H53,NATURAL,7.5,female,wave,11,43,0,279,0,0,DIFF,in tank 20200527,K
H15,ARTIFICIAL,10,female,crab,30,0,0,0,0,0,U,in tank 20200601,K
H18,ARTIFICIAL,9,female,crab,1,8,0,18,0,0,SAME,in tank 20200603,K
H25,ARTIFICIAL,9.5,female,crab,5,30,0,0,198,0,DIFF,in tank 20200603,K
H14,ARTIFICIAL,10,female,crab,5,4,0,0,8,0,SAME,in tank 20200526,K
H12,ARTIFICIAL,12.5,female,crab,30,16,0,0,0,0,U,in tank 20200528,K
H52,ARTIFICIAL,8.5,female,wave,5,25,0,227,0,0,DIFF,in tank 20200601,K
H02,ARTIFICIAL,8,female,wave,1,53,0,261,0,0,DIFF,in tank 20200527,K
H51,NONE,9,female,crab,Control,65,0,0,0,0,U,in tank 20200611,K
H19,ARTIFICIAL,9.5,female,crab,5,0,0,0,0,0,U,in tank 20200604,K
K50,ARTIFICIAL,9,female,crab,30,10,0,109,0,0,U,in tank 20200602,K
H06,ARTIFICIAL,12,female,crab,30,10,0,418,0,0,U,in tank 20200601,K
J51,ARTIFICIAL,9,female,crab,30,12,0,118,0,0,U,in tank 20200525,K
H21,ARTIFICIAL,10,female,crab,1,18,0,0,0,0,U,in tank 20200602,K
H11,ARTIFICIAL,12,female,crab,1,0,0,0,0,0,U,in tank 20200528,K
